group_urlname,event_id,member_id
Pune-Developers-Community,236723955,206369855
Pune-Developers-Community,236723955,36336212
Pune-Developers-Community,236723955,214364579
Pune-Developers-Community,236723955,196000579
Pune-Developers-Community,236723955,210361217
Pune-Developers-Community,236723955,32726852
Pune-Developers-Community,236723955,192519791
Pune-Developers-Community,236723955,219854787
Pune-Developers-Community,236723955,214975190
Pune-Developers-Community,236723955,67943522
Pune-Developers-Community,236723955,209587692
Pune-Developers-Community,236723955,130406852
Pune-Developers-Community,236723955,198080467
Pune-Developers-Community,236723955,56122562
Pune-Developers-Community,236723955,197518042
Pune-Developers-Community,236723955,182936242
Pune-Developers-Community,236723955,193872490
Pune-Developers-Community,236723955,199425600
Pune-Developers-Community,236723955,116162232
Pune-Developers-Community,236723955,175993882
Pune-Developers-Community,236723955,12141875
Pune-Developers-Community,236723955,183368939
Pune-Developers-Community,236723955,218958991
Pune-Developers-Community,236723955,210378810
Pune-Developers-Community,236723955,209622448
Pune-Developers-Community,236723955,218530252
Pune-Developers-Community,236723955,203371094
Pune-Developers-Community,236723955,219844032
Pune-Developers-Community,236723955,219640873
Pune-Developers-Community,236723955,8133424
Pune-Developers-Community,236723955,198085008
Pune-Developers-Community,236723955,219314545
Pune-Developers-Community,236723955,189216710
Pune-Developers-Community,236723955,217601807
Pune-Developers-Community,236723955,95859432
Pune-Developers-Community,236723955,209854576
Pune-Developers-Community,236723955,68724562
Pune-Developers-Community,236723955,211950134
Pune-Developers-Community,236723955,184206722
Pune-Developers-Community,236723955,216943707
Pune-Developers-Community,236723955,186530205
Pune-Developers-Community,236723955,211687187
Pune-Developers-Community,236723955,190585314
Pune-Developers-Community,236723955,126350332
Pune-Developers-Community,236723955,184208767
Pune-Developers-Community,236723955,211322776
Pune-Developers-Community,236723955,219870230
Pune-Developers-Community,236723955,174448762
Pune-Developers-Community,236723955,214855479
Pune-Developers-Community,236723955,215082839
Pune-Developers-Community,236723955,143495662
Pune-Developers-Community,236723955,217635836
Pune-Developers-Community,236723955,219573782
Pune-Developers-Community,236723955,202833986
Pune-Developers-Community,236723955,208161144
Pune-Developers-Community,236723955,4397139
Pune-Developers-Community,236723955,196950326
Pune-Developers-Community,236723955,100280882
Pune-Developers-Community,236723955,190154147
Pune-Developers-Community,236723955,219866035
Pune-Developers-Community,236723955,210611949
Pune-Developers-Community,236723955,196718349
Pune-Developers-Community,236723955,219581508
Pune-Developers-Community,236723955,215268701
Pune-Developers-Community,236723955,219575477
Pune-Developers-Community,236723955,87075672
Pune-Developers-Community,236723955,195873765
Pune-Developers-Community,236723955,190631195
Pune-Developers-Community,236723955,184126595
Pune-Developers-Community,236723955,66702342
Pune-Developers-Community,236723955,219865934
Pune-Developers-Community,236723955,94881292
Pune-Developers-Community,236723955,196883705
Pune-Developers-Community,236723955,216441585
Pune-Developers-Community,236723955,5780173
Pune-Developers-Community,236723955,163461282
Pune-Developers-Community,236723955,119642522
Pune-Developers-Community,236723955,116859082
Pune-Developers-Community,236723955,191383392
Pune-Developers-Community,236723955,216981773
Pune-Developers-Community,236723955,219866302
Pune-Developers-Community,236723955,197610162
Pune-Developers-Community,236723955,214876269
Pune-Developers-Community,236723955,103920232
Pune-Developers-Community,236723955,145199282
