group_id,group_name,members,category_id,category_name,organizer_id,urlname
28222168,Unsullied Bike ride – Exploring  West Bengal and Nepal,14,242,Outdoors & Adventure,252777312,Unsullied-Bike-ride-Exploring-West-Bengal-and-Nepal
26614835,Roaming Clan- Pune and International,571,242,Outdoors & Adventure,13811217,Roaming-Clan-Pune-and-International
17425892,Kalyani Nagar Investor - Entrepreneurs Meetup,1081,522,Career & Business,153289362,kalyaniNagar-Investor-Entrepreneurs-Meetup
25117469,Toastmasters Club of Pune North East,122,562,Learning,231523507,Toastmasters-Club-of-Pune-North-East
18160042,IoT of Many things,327,542,Dance,145060582,openIoThinkers
27530010,Technology Enthusiasts,74,292,Tech,183680723,the-Enthusiasts
27918605,Pune CAD/CAM Meetup,15,292,Tech,245711502,Pune-CAD-CAM-Meetup
18499032,Puneri Jobs,1785,522,Career & Business,117196092,Puneri-Jobs
27301580,Inscape Cowork,65,282,Sports & Fitness,246928705,Inscape
21776509,Vizitech Blockchain  Meetup,714,292,Tech,186797210,Vizitech-Blockchain-Meetup
15700822,Pune Hiking Meetup,4795,242,Outdoors & Adventure,156313062,Pune-Hiking-Meetup
20270900,Blockchain and Smart Contract Innovators,1247,292,Tech,198659521,Blockchain-and-Smart-Contract-Innovators
27785479,"The 5th Gear Riders (Pune) - Riding Miles, Spreading Smiles",59,242,Outdoors & Adventure,170300772,The5thGearRidersPune
27923103,Pune Positive Thinking Meetup,49,132,Beliefs,239526165,Pune-Positive-Thinking-Meetup
24063096,The Road Not taken,161,242,Outdoors & Adventure,191082021,meetup-group-Roadnottaken
9481272,Weekend Fun Club,3963,272,Social,100730602,Weekend-Fun-Club
22598845,Bnpcafe Punekar,259,522,Career & Business,192473264,Bnpcafe-Startup-for-all-Professionals
19906806,Pune travel association,810,272,Social,187781704,lady-rockers
23422491,Pune Marketing Meetup,355,522,Career & Business,217953391,meetup-group-RXJhzWOL
19236417,Pune Poker Meetup cashhh,280,182,Sci-Fi & Games,182939267,Pune-Poker-Meetup-cashhh
25336219,Pune Camp Newly Divorced Meetup,50,302,Health & Wellness,234084105,meetup-group-wAGZmrcP
26208139,क से कविता - Hindi Poetry,357,222,Book Clubs,179251572,HindiKavitaPune
13743362,"Pune Digital Marketers - AdWords, Remarketing, Analytics",710,522,Career & Business,217166966,PuneDigitalMarketers
18835936,Food and Drink Adventures with Friends,900,162,Food & Drink,12243983,Food-and-Drink-Adventures-with-Friends
27409139,Career10xpro,40,522,Career & Business,71695942,Career10xpro
27448285,Pune Outdoors Towards Himalayas,116,242,Outdoors & Adventure,247494416,Pune-Outdoors-Towards-Himalayas
27846365,Drench 'n Dab Art Studio,178,122,Arts,233252861,Drench-n-Dab-Art-Studio
18490887,Creative Pad Photography Workshops and Meetups,2572,262,Photography,122326282,Creative-Pad-Workshops-Pune
18609038,Buddha's teachings,1168,132,Beliefs,11644406,Buddhas-teachings
28142731,Happy Mates Pune,184,242,Outdoors & Adventure,248273933,Happy-Mates-Pune
18604408,Home/UnSchoolers,316,232,Family,11644406,Home-UnSchoolers
26584606,Pune 40 plus couples with school going kids Meetup,50,272,Social,182943018,Pune-40-plus-couples-with-school-going-kids-Meetup
24306674,Femme Fiesta Club Monthly Meet,29,272,Social,229127093,Femme-Fiesta-Club-Monthly-Meet
17636252,Lost The Plot - Pune's first rooftop cinema & bar,1151,583,Film,177878472,Lost-The-Plot-Punes-first-rooftop-cinema-bar
5683532,Pune Dhamal Masti Group,2210,302,Health & Wellness,14274394,Pune-Dhamal-Masti-Group
17155502,Pune Cuban Music Meetup,67,512,Music,173235212,Pune-Cuban-Music-Meetup
20316072,Pune Lesbian Meetup,36,585,LGBTQ,211824356,Punelesbians
17309652,Pune Women Entrepreneurs Meetup,706,522,Career & Business,174472592,Indian-Women-Entrepreneurs-Network
15722512,Pune Capoeira Meetup,478,282,Sports & Fitness,156348692,Pune-Capoeira-Meetup
15617272,"Startups, Enthusiats & Entrepreneurs Meetup",3106,292,Tech,27558072,Startups-Enthusiasts-Entrepreneurs-Meetup
17434212,Pune Walking Meetup,222,282,Sports & Fitness,101379262,1000Pune-Walking-Meetup
22818540,Escapade Outdoors & Adventures,933,242,Outdoors & Adventure,223373441,escapadeoutdoors
9900932,Sutra- The Power of Subconscious (Pune),2719,302,Health & Wellness,106963882,Sutra-Power-of-Subconscious
19251876,Pune Married Couples Meetup(25-35),106,272,Social,38771542,90b2615f-a01f-483d-ba5a-79ee7c1b4a60
17329472,Pune Socialise Meetup,592,272,Social,64427902,Pune-Socialise-Meetup
15917372,Pune Crafties,156,532,Hobbies & Crafts,157862332,Pune-Crafties
19212950,Learn Meditation with Shri ShivaBalayogi-Pune,125,302,Health & Wellness,193868832,Meditation-with-Shri-ShivaBalayogi-Pune
7107702,Cloud computing (AWS) and scalability,2394,292,Tech,161992232,Cloud-computing-aws-and-scalability
16805092,Pune DAILY MORNING SPORTS AND EXERCISE ( 6 AM TO 8 AM),253,282,Sports & Fitness,35120522,Pune-DAILY-MORNING-SPORTS-AND-EXERCISE-6-AM-TO-8-AM
3118832,AmazonAWS Pune,1520,292,Tech,35591942,AmazonAWS-India
27087504,Natural Building and Village Tour,26,242,Outdoors & Adventure,156346332,Natural-Building-and-Village-Tour
16268532,"Pune Adventure Sports : Travel Buddies , Friends",758,242,Outdoors & Adventure,108276802,College-Buddies-Ready-for-Travel-Together
23530041,Earthlings!,669,132,Beliefs,214021248,meetup-group-MeNKhMim
27507515,Pune Law Of Attraction Meetup,50,132,Beliefs,244197218,Pune-Law-Of-Attraction-Meetup
16704722,Pune Poker Stars Meetup,260,182,Sci-Fi & Games,182939267,Pune-Poker-Stars-Meetup
18481255,"Life Success Coaching;Development of ""THE SELF""; Mindfulness",366,0,,148316232,SelfGrowthAndLifeSuccess
18683561,Pune Microservices Meetup,172,292,Tech,32230602,Pune-Microservices-Meetup
26501000,Couples Meetup pune,45,272,Social,213319499,Couples-Meetup-pune
